ID,Title,Type,File URL,Size (bytes),Last Modified,Folder ID,File Name,Size (KB),Date,Time
"9639_4-guideline-Early-Discharge-Appendectomy--EDAP-.pdf","Early Discharge Appendectomy EDAP","guideline","spaces/4/content/9639/4-guideline-Early-Discharge-Appendectomy--EDAP-.pdf",195042,"2025-08-05T11:30:51.000Z","9639","4-guideline-Early-Discharge-Appendectomy--EDAP-.pdf",190,"2025-08-05","11:30:51"
"9640_4-guideline-EDAP-Process-Map.pdf","EDAP Process Map","guideline","spaces/4/content/9640/4-guideline-EDAP-Process-Map.pdf",80700,"2025-08-05T11:30:51.000Z","9640","4-guideline-EDAP-Process-Map.pdf",78,"2025-08-05","11:30:51"
"9589_4-guideline-ED-Clinical-Pathway----Pre-Sedation-Evaluation-2.28.24.pdf","Ed Clinical Pathway Pre Sedation Evaluation 2","guideline","spaces/4/content/9589/4-guideline-ED-Clinical-Pathway----Pre-Sedation-Evaluation-2.28.24.pdf",60859,"2025-08-05T11:30:50.000Z","9589","4-guideline-ED-Clinical-Pathway----Pre-Sedation-Evaluation-2.28.24.pdf",59,"2025-08-05","11:30:50"
"9362_4-guideline-PCPinsurance-PP-FInal-Draft-2.pdf","Pcpinsurance Pp Final Draft 2","guideline","spaces/4/content/9362/4-guideline-PCPinsurance-PP-FInal-Draft-2.pdf",107309,"2025-08-05T11:30:49.000Z","9362","4-guideline-PCPinsurance-PP-FInal-Draft-2.pdf",104,"2025-08-05","11:30:49"
"9343_4-guideline-Consent-Process-for-CCHMC_Sept-2024.pdf","Consent Process for Cchmc Sept 2024","guideline","spaces/4/content/9343/4-guideline-Consent-Process-for-CCHMC_Sept-2024.pdf",458052,"2025-08-05T11:30:47.000Z","9343","4-guideline-Consent-Process-for-CCHMC_Sept-2024.pdf",447,"2025-08-05","11:30:47"
"8950_4-guideline-NICU-Dosing-Guide---122021.pdf","Dosing Guide 122021","guideline","spaces/4/content/8950/4-guideline-NICU-Dosing-Guide---122021.pdf",1066936,"2025-08-05T11:30:46.000Z","8950","4-guideline-NICU-Dosing-Guide---122021.pdf",1041,"2025-08-05","11:30:46"
"8949_4-guideline-NICU-DRIP-CHART---122021.pdf","Drip Chart 122021","guideline","spaces/4/content/8949/4-guideline-NICU-DRIP-CHART---122021.pdf",549996,"2025-08-05T11:30:45.000Z","8949","4-guideline-NICU-DRIP-CHART---122021.pdf",537,"2025-08-05","11:30:45"
"8854_4-guideline-Screenshot-2025-04-03-at-9.22.06 AM.png","Screenshot 2025 04 03 at 9","image","spaces/4/content/8854/4-guideline-Screenshot-2025-04-03-at-9.22.06 AM.png",553117,"2025-08-05T11:30:44.000Z","8854","4-guideline-Screenshot-2025-04-03-at-9.22.06 AM.png",540,"2025-08-05","11:30:44"
"8854_4-guideline-CDH-ECMO-Protocol-073124.pdf","CDH ECMO Protocol 073124","guideline","spaces/4/content/8854/4-guideline-CDH-ECMO-Protocol-073124.pdf",163432,"2025-08-05T11:30:43.000Z","8854","4-guideline-CDH-ECMO-Protocol-073124.pdf",159,"2025-08-05","11:30:43"
"8854_4-guideline-CDH-ECMO-Protocol-4.3.25.pdf","CDH ECMO Protocol 4","guideline","spaces/4/content/8854/4-guideline-CDH-ECMO-Protocol-4.3.25.pdf",171947,"2025-08-05T11:30:43.000Z","8854","4-guideline-CDH-ECMO-Protocol-4.3.25.pdf",167,"2025-08-05","11:30:43"
